| Royce White | Republican | Candidate for U.S. Senate — Minnesota | 16 | 14 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, misinformation, religious-freedom, same-sex-marriage, school-vouchers, trans-athletes, ukraine-support, voting-rights |
| David A. Alvarez | Democrat | Assembly Member | 22 | 18 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, jail-capacity, local-environment, medicare/aid, misinformation, redistricting, same-sex-marriage, tariffs, trans-athletes, voting-rights |
| Cottie Petrie-Norris | Democrat | Assembly Member | 22 | 18 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, jail-capacity, medicare/aid, misinformation, redistricting, trans-athletes, voting-rights |
| Kate Sanchez | Republican | Assembly Member | 17 | 14 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, medicare/aid, misinformation, redistricting, rent-regulation, tariffs, trans-athletes, voting-rights |
| Nithya Raman | Democratic | Council Member | 26 | 21 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, economic-development, fossil-fuels, growth-and-development, homelessness, homelessness-response, housing, immigration, local-environment, medicare/aid, public-safety-approach, rent-regulation, residential-zoning, taxes, transportation-priorities, ukraine-support, voting-rights |
| Gail Pellerin | Democrat | Assembly Member | 21 | 17 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, ukraine-support, voting-rights |
| Shelli Yoder | Democratic | Indiana State Senate - District 40 | 21 | 17 | likely-correct | childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, medicare/aid, religious-freedom, school-vouchers, tariffs, taxes, voting-rights |
| Matt Haney | Democrat | Assembly Member | 21 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, social-security, taxes, trans-athletes, ukraine-support |
| Rhodesia Ransom | Democrat | Assembly Member | 16 | 13 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, healthcare, housing, immigration, medicare/aid, social-security, tariffs, voting-rights |
| Natasha Johnson | Republican | Assembly Member | 16 | 13 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, immigration, jail-capacity, local-immigration, medicare/aid, tariffs |
| Lori D. Wilson | Democrat | Assembly Member | 16 | 13 | likely-correct | abortion, civil-rights, climate-change, deportation, healthcare, housing, immigration, medicare/aid, misinformation, redistricting, same-sex-marriage, trans-athletes, voting-rights |
| Angela Alsobrooks | Democrat | Senator | 20 | 16 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, redistricting, social-security, taxes, ukraine-support |
| John Sununu | Republican | Candidate for U.S. Senate — New Hampshire | 20 | 16 | likely-correct | abortion, campaign-finance, civil-rights, deportation, fossil-fuels, healthcare, immigration, medicare/aid, redistricting, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes, trans-athletes, voting-rights |
| Harriet Hageman | Republican | Candidate for U.S. Senate — Wyoming | 20 | 16 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, judicial-criminal-justice, judicial-interpretation, misinformation, public-safety-approach, religious-freedom, same-sex-marriage, taxes, trans-athletes, ukraine-support, voting-rights |
| Andrea Joy Campbell | Democrat | Attorney General | 20 | 16 | likely-correct | civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-bail-pretrial, judicial-criminal-justice, judicial-government-deference, judicial-interpretation, judicial-police-accountability, judicial-transparency, trans-athletes |
| Josh Hoover | Republican | Assembly Member | 15 | 12 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, medicare/aid, taxes, trans-athletes, voting-rights |
| Michael Whatley | Republican | Candidate for U.S. Senate — North Carolina | 15 | 12 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, religious-freedom, same-sex-marriage, trans-athletes, voting-rights |
| Robert Nichols | Republican | Senator | 15 | 12 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, same-sex-marriage, school-vouchers, taxes, trans-athletes, voting-rights |
| Peter Welch | Democrat | Senator | 24 | 19 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Patty Murray | Democrat | Senator | 24 | 19 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Roger Wicker | Republican | Senator | 19 | 15 | likely-correct | abortion, campaign-finance, civil-rights, deportation, fossil-fuels, healthcare, immigration, medicare/aid, misinformation, religious-freedom, social-security, tariffs, taxes, trans-athletes, voting-rights |
| Jeff Merkley | Democrat | U.S. Senate - Oregon | 23 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, misinformation, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Michael D. Brady | Democrat | Senator, Second Plymouth and Norfolk District | 18 | 14 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, homelessness, housing, immigration, jail-capacity, local-immigration, redistricting, trans-athletes, voting-rights |
| Joni Ernst | Republican | Senator | 18 | 14 | likely-correct | abortion, campaign-finance, deportation, fossil-fuels, healthcare, immigration, medicare/aid, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes, trans-athletes, voting-rights |
| Alex Padilla | Democratic | U.S. Senate - California | 35 | 27 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, economic-development, fossil-fuels, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, judicial-police-accountability, local-environment, misinformation, public-safety-approach, religious-freedom, rent-regulation, school-vouchers, social-security, tariffs, taxes, trans-athletes, transportation-priorities, ukraine-support |
| Jon Husted | Republican | Senator | 30 | 23 | likely-correct | abortion, campaign-finance, childcare, civil-rights, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, judicial-interpretation, medicare/aid, public-safety-approach, redistricting, religious-freedom, school-vouchers, tariffs, taxes, trans-athletes, voting-rights |
| Jack Reed | Democrat | Senator | 26 | 20 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, misinformation, redistricting, religious-freedom, trans-athletes, ukraine-support, voting-rights |
| Christopher Murphy | Democrat | Senator | 26 | 20 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, misinformation, redistricting, religious-freedom, taxes, trans-athletes, ukraine-support, voting-rights |
| Chuck Grassley | Republican | Senator | 22 | 17 | likely-correct | abortion, campaign-finance, deportation, fossil-fuels, healthcare, immigration, judicial-interpretation, medicare/aid, religious-freedom, same-sex-marriage, school-vouchers, social-security, tariffs, taxes, trans-athletes, ukraine-support, voting-rights |
| Avelino Valencia | Democrat | Assembly Member | 22 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, jail-capacity, medicare/aid, misinformation, redistricting, taxes, trans-athletes, voting-rights |
| Marc Berman | Democrat | Assembly Member | 22 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, voting-rights |
| Esmeralda Z. Soria | Democrat | Assembly Member | 22 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, deportation, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, same-sex-marriage, social-security, tariffs, trans-athletes, voting-rights |
| Jivan Sobrinho-Wheeler | Unknown | City Councillor | 22 | 17 | likely-correct | childcare, city-sanitation, civil-rights, climate-change, deportation, economic-development, fossil-fuels, homelessness, homelessness-response, housing, immigration, jail-capacity, local-environment, local-immigration, public-safety-approach, rent-regulation, transportation-priorities |
| Susan M. Collins | Republican | U.S. Senate - Maine | 25 | 19 | likely-correct | ai-regulation, childcare, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, misinformation, religious-freedom, school-vouchers, social-security, tariffs, taxes, voting-rights |
| Buffy Wicks | Democrat | Assembly Member | 21 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, taxes, trans-athletes, voting-rights |
| Mike Braun | Republican | Indiana Governor | 21 | 16 | likely-correct | abortion, campaign-finance, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, misinformation, religious-freedom, same-sex-marriage, tariffs, taxes, trans-athletes, ukraine-support, voting-rights |
| Heather Hutt | Democratic | Council Member | 21 | 16 | likely-correct | abortion, civil-rights, climate-change, deportation, economic-development, fossil-fuels, homelessness, homelessness-response, housing, immigration, local-environment, local-immigration, rent-regulation, taxes, transportation-priorities, voting-rights |
| Lola Smallwood-Cuevas | Democrat | Senator | 21 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, taxes, trans-athletes, voting-rights |
| Micah Beckwith | Republican | Indiana Lieutenant Governor | 21 | 16 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, immigration, misinformation, redistricting, religious-freedom, same-sex-marriage, school-vouchers, taxes, trans-athletes |
| Mike Crapo | Republican | Senator | 21 | 16 | likely-correct | abortion, campaign-finance, deportation, fossil-fuels, healthcare, immigration, jail-capacity, judicial-criminal-justice, medicare/aid, religious-freedom, school-vouchers, social-security, tariffs, taxes, trans-athletes, voting-rights |
| Dr. LaShae Sharp-Collins | Democrat | Assembly Member | 21 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, medicare/aid, misinformation, social-security, voting-rights |
| John Hickenlooper | Democrat | Senator | 21 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, deportation, healthcare, housing, immigration, medicare/aid, redistricting, social-security, tariffs, taxes, trans-athletes, ukraine-support, voting-rights |
| Dr. Joaquin Arambula | Democrat | Assembly Member | 21 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, medicare/aid, misinformation, redistricting, trans-athletes, voting-rights |
| Mallory McMorrow | Democratic | Candidate for U.S. Senate — Michigan | 17 | 13 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, healthcare, housing, medicare/aid, misinformation, redistricting, social-security, taxes, ukraine-support, voting-rights |
| Mia Bonta | Democrat | Assembly Member | 17 | 13 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, voting-rights |
| Royce West | Democrat | Senator | 17 | 13 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, taxes, voting-rights |
| Anamarie Avila Farias | Democrat | Assembly Member | 17 | 13 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, voting-rights |
| Brad Sherman | Democratic | Representative | 28 | 21 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, medicare/aid, misinformation, religious-freedom, social-security, taxes, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Katherine Clark | Democrat | Representative | 28 | 21 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-criminal-justice, judicial-police-accountability, judicial-prosecution-priorities, judicial-transparency, medicare/aid, misinformation, religious-freedom, social-security, ukraine-support |
| Mazie Hirono | Democrat | Senator | 24 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, religious-freedom, taxes, trans-athletes, ukraine-support, voting-rights |
| Richard Blumenthal | Democrat | Senator | 24 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Tammy Duckworth | Democrat | Senator | 24 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Lisa Blunt Rochester | Democrat | Senator | 24 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Tina Smith | Democrat | Senator | 24 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Sheldon Whitehouse | Democrat | Senator | 24 | 18 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Rebecca Bauer-Kahan | Democrat | Assembly Member | 20 | 15 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, misinformation, taxes, trans-athletes, voting-rights |
| Kevin Hern | Republican | Candidate for U.S. Senate — Oklahoma | 20 | 15 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, fossil-fuels, healthcare, immigration, redistricting, religious-freedom, same-sex-marriage, school-vouchers, social-security, taxes, trans-athletes, voting-rights |
| Julia Brownley | Democratic | Representative | 20 | 15 | likely-correct | campaign-finance, civil-rights, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, misinformation, religious-freedom, social-security, tariffs, trans-athletes, ukraine-support, voting-rights |
| Juan "Chuy" Hinojosa | Democrat | Senator | 16 | 12 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, immigration, medicare/aid, same-sex-marriage, school-vouchers, taxes, trans-athletes, voting-rights |
| Susan Rubio | Democrat | Senator | 16 | 12 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, healthcare, homelessness, housing, medicare/aid, misinformation, redistricting, voting-rights |
| Tri Ta | Republican | Assembly Member | 27 | 20 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness-response, immigration, medicare/aid, misinformation, public-safety-approach, redistricting, rent-regulation, residential-zoning, tariffs, taxes, trans-athletes, transportation-priorities, voting-rights |
| Haley Stevens | Democratic | Candidate for U.S. Senate — Michigan | 27 | 20 | likely-correct | ai-regulation, campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, medicare/aid, public-safety-approach, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Dawn Addis | Democrat | Assembly Member | 23 | 17 | likely-correct | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, voting-rights |
| Hugo Soto-Martinez | Democratic | Council Member | 23 | 17 | likely-correct | campaign-finance, civil-rights, deportation, economic-development, growth-and-development, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-access-to-justice, judicial-police-accountability, local-environment, public-safety-approach, residential-zoning, taxes, transportation-priorities |
| Jeanne Shaheen | Democrat | Senator | 26 | 19 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, homelessness, housing, judicial-criminal-justice, judicial-interpretation, medicare/aid, misinformation, redistricting, same-sex-marriage, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Tammy Baldwin | Democrat | Senator | 22 | 16 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Alex Lee | Democrat | Assembly Member | 22 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, data-centers, deportation, fossil-fuels, homelessness, housing, immigration, misinformation, redistricting, social-security, trans-athletes, voting-rights |
| José Menéndez | Democrat | Senator | 15 | 11 | likely-correct | abortion, childcare, civil-rights, deportation, healthcare, immigration, medicare/aid, school-vouchers, taxes, trans-athletes, voting-rights |
| Donna Campbell | Republican | Senator | 15 | 11 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, immigration, religious-freedom, same-sex-marriage, school-vouchers, trans-athletes, voting-rights |
| Maria Elena Durazo | Democrat | Senator | 25 | 18 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Catherine S. Blakespear | Democrat | Senator | 25 | 18 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Jerry McNerney | Democrat | Senator | 25 | 18 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Jesse Arreguín | Democrat | Senator | 18 | 13 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, trans-athletes, voting-rights |
| Paul Bettencourt | Republican | Senator | 18 | 13 | likely-correct | abortion, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, immigration, medicare/aid, same-sex-marriage, taxes, trans-athletes, voting-rights |
| Norma Torres | Democratic | Representative | 28 | 20 | likely-correct | campaign-finance, childcare, civil-rights, deportation, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, housing, immigration, medicare/aid, misinformation, religious-freedom, social-security, tariffs, taxes, transportation-priorities, ukraine-support, voting-rights |
| Richard Durbin | Democrat | Senator | 24 | 17 | likely-correct | campaign-finance, childcare, civil-rights, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Elissa Slotkin | Democrat | Senator | 24 | 17 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, healthcare, housing, judicial-criminal-justice, judicial-interpretation, medicare/aid, redistricting, religious-freedom, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Chris Coons | Democrat | Senator | 24 | 17 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, judicial-criminal-justice, medicare/aid, misinformation, redistricting, religious-freedom, social-security, taxes, ukraine-support |
| Tim Kaine | Democrat | Senator | 24 | 17 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Ron Wyden | Democrat | U.S. Senate - Oregon | 24 | 17 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Bill Cassidy | Republican | Senator | 21 | 15 | likely-correct | abortion, campaign-finance, climate-change, deportation, fossil-fuels, healthcare, immigration, medicare/aid, religious-freedom, same-sex-marriage, school-vouchers, tariffs, taxes, trans-athletes, voting-rights |
| Gary Peters | Democrat | Senator | 21 | 15 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, healthcare, housing, immigration, judicial-criminal-justice, medicare/aid, redistricting, taxes, trans-athletes, ukraine-support, voting-rights |
| Maria Cantwell | Democrat | Senator | 21 | 15 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, immigration, medicare/aid, misinformation, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| George Whitesides | Democratic | Representative | 21 | 15 | likely-correct | abortion, ai-regulation, campaign-finance, civil-rights, fossil-fuels, healthcare, housing, immigration, religious-freedom, social-security, tariffs, taxes, trans-athletes, ukraine-support, voting-rights |
| Josh Becker | Democrat | Senator | 21 | 15 | likely-correct | abortion, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, redistricting, taxes, trans-athletes, voting-rights |
| Timothy Peck | Unknown | U.S. Representative | 17 | 12 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, immigration, taxes, ukraine-support, voting-rights |
| Andres X. Vargas | Democrat | Representative, 3rd Essex District | 17 | 12 | likely-correct | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, immigration, jail-capacity, medicare/aid, taxes, trans-athletes |
| Sumbul Siddiqui | Unknown | Mayor | 17 | 12 | likely-correct | campaign-finance, civil-rights, deportation, economic-development, homelessness, homelessness-response, housing, immigration, local-environment, public-safety-approach, rent-regulation, transportation-priorities |
| Alan Armstrong | Republican | Senator | 17 | 12 | likely-correct | abortion, deportation, fossil-fuels, housing, immigration, judicial-criminal-justice, judicial-interpretation, medicare/aid, social-security, taxes, trans-athletes, voting-rights |
| Jim Banks | Republican | U.S. Senate - Indiana | 30 | 21 | likely-correct | ai-regulation, campaign-finance, childcare, deportation, economic-development, homelessness, homelessness-response, housing, immigration, jail-capacity, judicial-criminal-justice, medicare/aid, misinformation, redistricting, religious-freedom, school-vouchers, social-security, tariffs, taxes, ukraine-support, voting-rights |
| Tommy Tuberville | Republican | Senator | 30 | 21 | likely-correct | abortion, civil-rights, climate-change, deportation, economic-development, fossil-fuels, healthcare, homelessness, homelessness-response, immigration, jail-capacity, judicial-criminal-justice, judicial-interpretation, misinformation, public-safety-approach, redistricting, religious-freedom, school-vouchers, trans-athletes, ukraine-support, voting-rights |
| Rachel Fetty Anderson | Democratic | Candidate for U.S. Senate — West Virginia | 23 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, healthcare, homelessness, homelessness-response, immigration, judicial-criminal-justice, medicare/aid, public-safety-approach, school-vouchers, taxes, ukraine-support |
| Jon Ossoff | Democrat | Senator | 23 | 16 | likely-correct | abortion, campaign-finance, childcare, civil-rights, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, ukraine-support, voting-rights |
| Seth Moulton | Democratic | Candidate for U.S. Senate — Massachusetts | 23 | 16 | likely-correct | campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, homelessness, housing, immigration, jail-capacity, medicare/aid, redistricting, social-security, taxes, ukraine-support, voting-rights |
